state,clinton,trump,ev
AL,34.36,62.08,9
AK,36.55,51.28,3
AZ,44.58,48.08,11
AR,33.65,60.57,6
CA,61.73,31.62,55
CO,48.16,43.25,9
CT,54.57,40.93,7
DE,53.09,41.72,3
DC,90.48,4.07,3
FL,47.82,49.02,29
GA,45.64,50.77,16
HI,62.22,30.03,3
ID,27.49,59.26,4
IL,55.83,38.76,20
IN,37.91,56.82,11
IA,41.74,51.15,6
KS,36.05,56.65,6
KY,32.68,62.52,8
LA,38.45,58.09,8
ME,47.83,44.87,2
MD,60.33,33.91,10
MA,60.01,32.81,11
MI,47.27,47.5,16
MN,46.44,44.92,10
MS,40.11,57.94,6
MO,38.14,56.77,10
MT,35.75,56.17,3
NE,33.7,58.75,2
NV,47.92,45.5,6
NH,46.98,46.61,4
NJ,55.45,41.35,14
NM,48.26,40.04,5
NY,59.01,36.52,29
NC,46.17,49.83,15
ND,27.23,62.96,3
OH,43.56,51.69,18
OK,28.93,65.32,7
OR,50.07,39.09,7
PA,47.46,48.18,20
RI,54.41,38.9,4
SC,40.67,54.94,9
SD,31.74,61.53,3
TN,34.72,60.72,11
TX,43.24,52.23,36
UT,27.46,45.54,6
VT,56.68,30.27,3
VA,49.73,44.41,13
WA,52.54,36.83,8
WV,26.43,68.5,5
WI,46.45,47.22,10
WY,21.63,67.4,3
